species	species_label	n_codons	n_codons_tRNAgt0	sd_codon_freq	sd_tRNA_copies	cor_spearman	cor_pearson
Sdem	Spheniscus demersus	61	48	0.19786800168090826	5.371194166659429	0.32324793641369454	0.250034642165766
Afor	Aptenodytes forsteri	61	45	0.19746201151979276	2.6814481039964635	0.2614646269207328	0.27730509670294295
Emin	Eudyptula minor	61	47	0.19761060698147637	4.858601746280688	0.24403747899893014	0.2229172853126385
Smen	Spheniscus mendiculus	61	48	0.197957665219533	3.4803115242763725	0.2390121124605306	0.24922025329115638
